unique_values,counts,percentage, not_phoneme
14.0,583,11.3,
71.0,399,7.7,
87.0,366,7.1,
69.0,321,6.2,
1.0,220,4.2,
144.0,191,3.7,
24.0,156,3.0,iconic
3.0,135,2.6,
34.0,134,2.6,
2.0,109,2.1,iconic
21.0,109,2.1,some handshapes are iconic some phonemic
97.0,108,2.1,iconic
13.0,105,2.0,phonetic
51.0,104,2.0,
18.0,99,1.9,phonetic
75.0,94,1.8,some handshapes are iconic some phonemic
137.0,91,1.8,
96.0,81,1.6,iconic
59.0,76,1.5,some handshapes are iconic some phonemic
30.0,75,1.4,some handshapes are initialized some are phonemic
73.0,75,1.4,phonetic
68.0,69,1.3,some handshapes are iconic some phonemic
95.0,68,1.3,iconic
103.0,66,1.3,iconic
15.0,64,1.2,
152.0,62,1.2,iconic
110.0,61,1.2,
70.0,61,1.2,phonetic_iconic
125.0,60,1.1,some handshapes are initialized some are phonemic
76.0,56,1.1,phonetic
91.0,53,1.0,iconic
141.0,52,1.0,iconic
111.0,49,0.9,
78.0,43,0.8,phonetic
136.0,42,0.8,some handshapes are initialized some are phonemic
92.0,39,0.8,iconic
140.0,31,0.6,iconic
86.0,30,0.6,iconic
100.0,30,0.6,iconic
79.0,29,0.6,
115.0,27,0.5,iconic
155.0,26,0.5,init
12.0,24,0.5,phonetic
33.0,24,0.5,phonetic
158.0,23,0.4,iconic
7.0,23,0.4,phonetic
25.0,23,0.4,iconic
52.0,22,0.4,iconic
133.0,20,0.4,iconic
38.0,20,0.4,phonetic_iconic
109.0,19,0.4,phonetic
163.0,17,0.3,phonetic
74.0,17,0.3,phonetic
162.0,16,0.3,init
41.0,16,0.3,iconic
101.0,14,0.3,phonetic
85.0,13,0.3,phonetic
29.0,13,0.3,
72.0,13,0.3,phonetic
11.0,11,0.2,
16.0,11,0.2,iconic
135.0,10,0.2,phonetic
64.0,9,0.2,iconic
112.0,9,0.2,phonetic
147.0,8,0.2,iconic
166.0,8,0.2,init
113.0,8,0.2,phonetic
104.0,8,0.2,phonetic
23.0,7,0.1,phonetic
50.0,7,0.1,phonetic
107.0,7,0.1,iconic
61.0,6,0.1,
55.0,6,0.1,phonetic
53.0,5,0.1,
82.0,5,0.1,phonetic
167.0,5,0.1,iconic
129.0,5,0.1,iconic
114.0,4,0.1,phonetic
35.0,4,0.1,phonetic
134.0,4,0.1,iconic
88.0,4,0.1,iconic
171.0,4,0.1,iconic
80.0,4,0.1,iconic
159.0,4,0.1,iconic
40.0,3,0.1,phonetic_iconic
120.0,3,0.1,iconic
170.0,3,0.1,iconic
164.0,3,0.1,iconic
153.0,2,0.0,phonetic
58.0,2,0.0,phonetic
127.0,2,0.0,phonetic
48.0,2,0.0,init
119.0,2,0.0,iconic
39.0,2,0.0,phonetic
160.0,2,0.0,phonetic
146.0,2,0.0,iconic
60.0,2,0.0,phonetic
142.0,2,0.0,phonetic
83.0,2,0.0,
89.0,2,0.0,phonetic
165.0,2,0.0,iconic
98.0,2,0.0,iconic
81.0,1,0.0,iconic
138.0,1,0.0,iconic
27.0,1,0.0,iconic
161.0,1,0.0,iconic
5.0,1,0.0,iconic
168.0,1,0.0,iconic
20.0,1,0.0,iconic
19.0,1,0.0,phonetic
90.0,1,0.0,iconic
45.0,1,0.0,phonetic
169.0,1,0.0,iconic
128.0,1,0.0,phonetic
157.0,1,0.0,iconic
