unique_values,counts
1000001nannannannannannan,41
0000011nannannannannannan,33
10000010.00.00.00.00.00.0,30
0000010nannannannannannan,30
1001101nannannannannannan,29
1000000nannannannannannan,28
1010001nannannannannannan,17
1001100nannannannannannan,16
0100001nannannannannannan,14
10011010.00.00.00.00.00.0,13
1100001nannannannannannan,13
0101001nannannannannannan,10
10100010.00.00.00.00.00.0,10
1001001nannannannannannan,10
0100000nannannannannannan,10
1000010nannannannannannan,9
0100010nannannannannannan,9
11000010.00.00.00.00.00.0,9
00000110.00.00.00.00.00.0,9
1010000nannannannannannan,8
1100000nannannannannannan,7
0010000nannannannannannan,6
0101101nannannannannannan,6
10010010.00.00.00.00.00.0,6
0100011nannannannannannan,6
10000110.00.00.00.00.00.0,6
1001000nannannannannannan,5
01000010.00.00.00.00.00.0,5
0101100nannannannannannan,5
01011010.00.00.00.00.00.0,5
0010010nannannannannannan,4
0101000nannannannannannan,4
1000011nannannannannannan,4
1101000nannannannannannan,4
1101101nannannannannannan,4
10111010.00.00.00.00.00.0,4
0010001nannannannannannan,4
1011101nannannannannannan,3
1000100nannannannannannan,3
01000110.00.00.00.00.00.0,3
1010011nannannannannannan,3
0011000nannannannannannan,3
0000000nannannannannannan,3
1011001nannannannannannan,3
11010010.00.00.00.00.00.0,3
01100010.00.00.00.00.00.0,2
1110001nannannannannannan,2
1000101nannannannannannan,2
0011001nannannannannannan,2
1011000nannannannannannan,2
0001101nannannannannannan,2
0011100nannannannannannan,2
0001000nannannannannannan,1
1101100nannannannannannan,1
10110010.00.00.00.00.00.0,1
00000110.00.00.00.00.01.0,1
00011010.00.00.00.00.00.0,1
11010011.00.00.00.00.00.0,1
1010101nannannannannannan,1
1100011nannannannannannan,1
10000011.00.00.00.00.00.0,1
10100110.00.00.00.00.00.0,1
11001010.00.00.00.00.00.0,1
10000010.00.01.00.00.00.0,1
00101010.00.00.00.00.00.0,1
00111010.00.00.00.00.00.0,1
11100010.00.01.00.00.00.0,1
01010010.00.00.00.00.00.0,1
00110010.00.00.00.00.00.0,1
0010011nannannannannannan,1
11000010.01.00.00.00.00.0,1
00000010.01.00.00.00.00.0,1
00010010.00.00.00.00.00.0,1
0110000nannannannannannan,1
