unique_values,counts,percentage
71.0,964,11.0
69.0,893,10.1
14.0,864,9.8
87.0,642,7.3
1.0,403,4.6
144.0,287,3.3
24.0,242,2.7
3.0,207,2.4
34.0,196,2.2
2.0,184,2.1
13.0,167,1.9
97.0,160,1.8
21.0,157,1.8
18.0,156,1.8
51.0,148,1.7
137.0,143,1.6
96.0,142,1.6
75.0,137,1.6
30.0,122,1.4
70.0,118,1.3
15.0,104,1.2
73.0,104,1.2
95.0,103,1.2
91.0,102,1.2
59.0,100,1.1
68.0,95,1.1
110.0,86,1.0
125.0,85,1.0
141.0,85,1.0
103.0,85,1.0
152.0,84,1.0
76.0,83,0.9
111.0,77,0.9
136.0,71,0.8
78.0,67,0.8
140.0,62,0.7
92.0,60,0.7
86.0,50,0.6
79.0,46,0.5
155.0,44,0.5
12.0,43,0.5
100.0,41,0.5
7.0,39,0.4
33.0,36,0.4
115.0,35,0.4
158.0,30,0.3
101.0,29,0.3
162.0,28,0.3
52.0,28,0.3
25.0,28,0.3
109.0,27,0.3
38.0,27,0.3
74.0,26,0.3
29.0,25,0.3
133.0,22,0.2
163.0,22,0.2
41.0,21,0.2
85.0,20,0.2
72.0,19,0.2
104.0,16,0.2
135.0,16,0.2
11.0,15,0.2
16.0,14,0.2
64.0,13,0.1
147.0,13,0.1
113.0,13,0.1
112.0,12,0.1
50.0,11,0.1
88.0,10,0.1
61.0,10,0.1
167.0,10,0.1
55.0,9,0.1
114.0,9,0.1
107.0,9,0.1
23.0,9,0.1
166.0,9,0.1
82.0,8,0.1
129.0,8,0.1
80.0,7,0.1
53.0,6,0.1
134.0,6,0.1
35.0,6,0.1
171.0,5,0.1
159.0,5,0.1
146.0,5,0.1
160.0,4,0.0
164.0,4,0.0
83.0,4,0.0
153.0,4,0.0
40.0,4,0.0
89.0,4,0.0
119.0,4,0.0
58.0,4,0.0
120.0,3,0.0
142.0,3,0.0
98.0,3,0.0
170.0,3,0.0
60.0,2,0.0
165.0,2,0.0
49.0,2,0.0
169.0,2,0.0
168.0,2,0.0
81.0,2,0.0
106.0,2,0.0
39.0,2,0.0
90.0,2,0.0
157.0,2,0.0
20.0,2,0.0
127.0,2,0.0
45.0,2,0.0
128.0,1,0.0
27.0,1,0.0
5.0,1,0.0
161.0,1,0.0
19.0,1,0.0
138.0,1,0.0
